Full Chemical Group Name,Full Analyte Name,Analyte Code,Required Units
Alkyl phosphate pesticide metabolites,6-chloronicotinic acid,CINA6,ng/mL
Alkyl phosphate pesticide metabolites,diethyldithiophosphate,DEDP,ng/mL
Alkyl phosphate pesticide metabolites,diethylphosphate,DEP,ng/mL
Alkyl phosphate pesticide metabolites,diethylthiophosphate,DETP,ng/mL
Alkyl phosphate pesticide metabolites,dimethyldithiophosphate,DMDP,ng/mL
Alkyl phosphate pesticide metabolites,dimethylphosphate,DMP,ng/mL
Alkyl phosphate pesticide metabolites,dimethylthiophosphate,DMTP,ng/mL
Alkyl phosphate pesticide metabolites,4-fluoro-3-phenoxybenzoic acid,FPBA,ng/mL
Alkyl phosphate pesticide metabolites,3-phenoxybenzoic acid,PBA,ng/mL
Alkyl phosphate pesticide metabolites,4-nitrophenol,PNP,ng/mL
Alkyl phosphate pesticide metabolites,"3,5,6-trichloro-2-pyridinol",TCP,ng/mL
,,,
Full Chemical Group Name,Full Analyte Name,Analyte Code,Required Units
Organochlorine Pesticides,alpha-hexachlorocyclohexane,AHCH,ng/mL
Organochlorine Pesticides,beta-hexachlorocyclohexane,BHCH,ng/mL
Organochlorine Pesticides,cis-Chlordane,CCHL,ng/mL
Organochlorine Pesticides,cis-Nonachlor,CNON,ng/mL
Organochlorine Pesticides,gamma-hexachlorocyclohexane,GHCH,ng/mL
Organochlorine Pesticides,Hexachlorobenzene,HCB,ng/mL
Organochlorine Pesticides,Mirex,MIREX,ng/mL
Organochlorine Pesticides,"2,4'-DDT",OPDDT,ng/mL
Organochlorine Pesticides,"4,4'-DDE",PPDDE,ng/mL
Organochlorine Pesticides,"4,4'-DDT",PPDDT,ng/mL
Organochlorine Pesticides,trans-Chlordane,TCHL,ng/mL
Organochlorine Pesticides,trans-Nonachlor,TNON,ng/mL
,,,
Full Chemical Group Name,Full Analyte Name,Analyte Code,Required Units
Parabens,Butyl paraben,BuPB,ng/mL
Parabens,Benzyl paraben,BZPB,ng/mL
Parabens,Ethyl paraben,ETPB,ng/mL
Parabens,Heptyl paraben,HEPB,ng/mL
Parabens,Methyl Paraben,MEPB,ng/mL
Parabens,Propyl paraben,PRPB,ng/mL
,,,
Full Chemical Group Name,Full Analyte Name,Analyte Code,Required Units
